index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1
72,0.641566,0.130456,0.10157,0.394917,0.0829178,0.0408277,-0.0788651,0.0718497,0.0664781,-1.65727e-13,33.0574,20.2596,214.01,0.122436,0.0770304,0.0643347,0,0,0
73,0.650602,0.136451,0.106,0.394788,0.0859474,0.0202754,-0.0675494,0.0718497,0.0664781,-1.65727e-13,29.603,20.3796,238.352,0.152371,0.100411,0.0566355,0,0,0
74,0.659639,0.142566,0.110514,0.394832,0.0886927,0.000839407,-0.0565853,0.0718497,0.0664781,-1.65727e-13,25.7409,20.5125,265.62,0.181843,0.123723,0.0472245,0,0,0
75,0.668675,0.148787,0.115111,0.395159,0.0911308,-0.0160368,-0.046464,0.0718497,0.0664781,-1.65727e-13,22.1195,20.6349,291.266,0.209677,0.145944,0.0370645,0,0,0
76,0.677711,0.155098,0.119792,0.39587,0.0932747,-0.0288675,-0.0377193,0.0718497,0.0664781,-1.65727e-13,19.3872,20.7237,310.738,0.234696,0.166048,0.0271185,0,0,0
77,0.686747,0.16149,0.124558,0.397041,0.0951666,-0.036323,-0.0308762,0.0718497,0.0664781,-1.65727e-13,18.1926,20.7558,319.487,0.255725,0.183011,0.0183494,0,0,0
78,0.695783,0.167956,0.129408,0.3987,0.096861,-0.0374673,-0.0263711,0.0718497,0.0664781,-1.65727e-13,17.292,19.7507,304.638,0.271836,0.19602,0.0115554,0,0,0
79,0.704819,0.174492,0.134337,0.40078,0.0984014,-0.0320061,-0.0244296,0.0718497,0.0664781,-1.65727e-13,14.7427,16.8463,260.15,0.28338,0.205341,0.00668715,0,0,0
80,0.713855,0.181087,0.139335,0.40311,0.0998019,-0.020381,-0.0249773,0.0718497,0.0664781,-1.65727e-13,11.1853,12.7852,197.597,0.291119,0.211589,0.00342382,0,0,0
81,0.722892,0.187728,0.144384,0.405441,0.101051,-0.00366601,-0.0276503,0.0718497,0.0664781,-1.65727e-13,7.27609,8.31871,128.643,0.295813,0.215379,0.00144442,0,0,0
82,0.731928,0.194399,0.149468,0.4075,0.102132,0.0166493,-0.031873,0.0718497,0.0664781,-1.65727e-13,3.67131,4.1981,64.9498,0.298223,0.217325,0.000427977,0,0,0
83,0.740964,0.201085,0.154569,0.409034,0.103045,0.0389712,-0.0369884,0.0718497,0.0664781,-1.65727e-13,1.0272,1.17475,18.1813,0.299111,0.218042,5.34972e-05,0,0,0
84,0.75,0.207776,0.159676,0.409862,0.103811,0.0620074,-0.0424435,0.0718497,0.0664781,-1.65727e-13,0,0,0,0.299238,0.218144,-3.18704e-13,0,0,0
85,0.759036,0.214469,0.164784,0.409913,0.104451,0.085041,-0.0479319,0.0719633,0.0665508,1.55246e-05,0,0,0,0.299238,0.218144,-3.18704e-13,0.815001,-0.0974512,18.6117
86,0.768072,0.221166,0.169892,0.409259,0.10499,0.107366,-0.05319,0.0727587,0.0670599,0.000124197,0,0,0,0.299238,0.218144,-3.18704e-13,2.91283,-0.347863,66.4883
87,0.777108,0.227875,0.174998,0.408087,0.10549,0.127722,-0.0577787,0.0749176,0.0684417,0.000419165,0,0,0,0.299238,0.218144,-3.18704e-13,5.77273,-0.688323,131.692
88,0.786145,0.234608,0.180102,0.406656,0.106047,0.144569,-0.061204,0.0791217,0.0711326,0.000993575,0,0,0,0.299238,0.218144,-3.18704e-13,8.87394,-1.05592,202.286
