index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1
71,0.63253,-0.0684968,0.205979,0.418609,0.0926089,0.38414,0.151314,-0.146795,0.122428,-1.42436e-11,61.7537,33.5658,248.618,-0.170787,0.400506,0.0941902,0,0,0
72,0.641566,-0.0642323,0.211155,0.420647,0.0964025,0.367417,0.161375,-0.146795,0.122428,-1.42436e-11,58.6007,34.0326,255.177,-0.14587,0.414275,0.0873672,0,0,0
73,0.650602,-0.0597295,0.216471,0.422927,0.0998107,0.349945,0.168754,-0.146795,0.122428,-1.42436e-11,54.0558,34.7054,264.632,-0.117366,0.423031,0.0769117,0,0,0
74,0.659639,-0.0550064,0.221928,0.425488,0.102866,0.332807,0.173091,-0.146795,0.122428,-1.42436e-11,48.9752,35.4573,275.203,-0.0871657,0.427815,0.0641314,0,0,0
75,0.668675,-0.0500831,0.22753,0.42837,0.10561,0.317225,0.173993,-0.146795,0.122428,-1.42436e-11,44.2153,36.1612,285.109,-0.0571602,0.429667,0.050334,0,0,0
76,0.677711,-0.0449785,0.23328,0.431614,0.108082,0.304412,0.171036,-0.146795,0.122428,-1.42436e-11,40.6324,36.6899,292.568,-0.0292397,0.429626,0.0368272,0,0,0
77,0.686747,-0.0397066,0.239179,0.435249,0.110297,0.295421,0.16378,-0.146795,0.122428,-1.42436e-11,39.0829,36.9162,295.8,-0.00529466,0.428735,0.0249187,0,0,0
78,0.695783,-0.0342754,0.245228,0.439278,0.11224,0.29097,0.151826,-0.146795,0.122428,-1.42436e-11,37.1929,35.1417,281.623,0.0131388,0.427893,0.0156923,0,0,0
79,0.704819,-0.0286948,0.251417,0.443638,0.113856,0.291299,0.135041,-0.146795,0.122428,-1.42436e-11,31.7306,29.9806,240.281,0.0263472,0.427289,0.00908122,0,0,0
80,0.713855,-0.0229862,0.257728,0.448166,0.115064,0.296119,0.113764,-0.146795,0.122428,-1.42436e-11,24.0849,22.7567,182.394,0.0352011,0.426885,0.00464958,0,0,0
81,0.722892,-0.0171797,0.264131,0.452634,0.115779,0.304682,0.0887658,-0.146795,0.122428,-1.42436e-11,15.6725,14.8082,118.692,0.0405716,0.426639,0.00196154,0,0,0
82,0.731928,-0.0113088,0.270595,0.456789,0.11595,0.315919,0.0610977,-0.146795,0.122428,-1.42436e-11,7.90991,7.47369,59.9053,0.0433294,0.426513,0.000581198,0,0,0
83,0.740964,-0.00540423,0.277091,0.460398,0.115587,0.328663,0.0318777,-0.146795,0.122428,-1.42436e-11,2.21356,2.09149,16.7647,0.0443454,0.426467,7.26497e-05,0,0,0
84,0.75,0.000511765,0.283598,0.463292,0.114744,0.341951,0.00201165,-0.146795,0.122428,-1.42436e-11,0,0,0,0.0444905,0.42646,-2.82247e-11,0,0,0
85,0.759036,0.00643008,0.290105,0.465407,0.113474,0.355248,-0.0279956,-0.146683,0.122431,0.000108028,0,0,0,0.0444905,0.42646,-2.82247e-11,1.19144,-0.605003,14.0072
86,0.768072,0.0123545,0.29661,0.466792,0.111861,0.368085,-0.0576087,-0.145897,0.122452,0.000864222,0,0,0,0.0444905,0.42646,-2.82247e-11,4.25753,-2.16191,50.0519
87,0.777108,0.0182971,0.303105,0.46759,0.110113,0.379657,-0.0858175,-0.143762,0.12251,0.00291675,0,0,0,0.0444905,0.42646,-2.82247e-11,8.43589,-4.28358,99.1685
88,0.786145,0.0242744,0.309583,0.467995,0.108555,0.389003,-0.111323,-0.139605,0.122624,0.00691378,0,0,0,0.0444905,0.42646,-2.82247e-11,12.9641,-6.58285,152.391
89,0.795181,0.0303043,0.316034,0.468217,0.107564,0.39526,-0.132846,-0.132751,0.12281,0.0135035,0,0,0,0.0444905,0.42646,-2.82247e-11,17.0799,-8.67258,200.755
90,0.804217,0.0364032,0.32245,0.468449,0.107481,0.397856,-0.149398,-0.122526,0.123089,0.023334,0,0,0,0.0444905,0.42646,-2.82247e-11,20.0208,-10.1656,235.294
